sample	rep	mainsource	compound	plate	well	0	2.5	5	7.5	10	12.5	15	17.5	20
s1	rep1	Carbon	Putrescine	pm_plate_1	F4	0.093	0.098	0.1	0.103	0.104	0.099	0.104	0.106	0.106
s1	rep1	Carbon	2 Deoxy-D-Ribose	pm_plate_1	F5	0.101	0.103	0.105	0.104	0.105	0.103	0.111	0.113	0.112
s1	rep1	Carbon	L-Arabitol	pm_plate_1	F6	0.093	0.1	0.1	0.102	0.102	0.099	0.103	0.103	0.104
s1	rep1	Carbon	D-Glucosamine	pm_plate_1	F7	0.092	0.097	0.096	0.1	0.105	0.111	0.129	0.157	0.174
s1	rep1	Carbon	L-Phenylalanine	pm_plate_1	F8	0.095	0.104	0.106	0.106	0.107	0.105	0.105	0.105	0.107
s1	rep1	Carbon	D-Glutamic Acid	pm_plate_1	F9	0.098	0.096	0.101	0.102	0.103	0.102	0.102	0.102	0.1
s1	rep1	Carbon	D-Arabinose	pm_plate_1	F10	0.101	0.105	0.107	0.106	0.107	0.105	0.105	0.104	0.105
s1	rep1	Carbon	L-Tryptophan	pm_plate_1	F11	0.176	0.173	0.182	0.182	0.178	0.174	0.176	0.177	0.176
s1	rep1	Carbon	L-Pyro-Glutamic Acid	pm_plate_1	F12	0.109	0.109	0.11	0.111	0.11	0.111	0.119	0.125	0.129
s1	rep1	Nitrogen	Negative Control	pm_plate_1	G1	0.092	0.102	0.098	0.096	0.104	0.127	0.137	0.139	0.141
s1	rep1	Nitrogen	Tyramine	pm_plate_1	G2	0.1	0.108	0.101	0.101	0.1	0.094	0.098	0.097	0.097
s1	rep1	Nitrogen	Uridine	pm_plate_1	G3	0.088	0.099	0.099	0.098	0.102	0.124	0.15	0.161	0.163
s1	rep1	Nitrogen	Inosine	pm_plate_1	G4	0.09	0.099	0.102	0.107	0.114	0.121	0.143	0.151	0.163
s1	rep1	Nitrogen	Histamine	pm_plate_1	G5	0.095	0.101	0.103	0.103	0.108	0.12	0.141	0.149	0.154
s1	rep1	Nitrogen	L-Pyro-Glutamic Acid	pm_plate_1	G6	0.093	0.103	0.107	0.107	0.105	0.101	0.108	0.11	0.11
s1	rep1	Nitrogen	Cytidine	pm_plate_1	G7	0.085	0.096	0.098	0.099	0.109	0.147	0.263	0.286	0.36
s1	rep1	Nitrogen	Adenosine	pm_plate_1	G8	0.094	0.098	0.103	0.108	0.127	0.202	0.278	0.354	0.312
s1	rep1	Nitrogen	L-Arginine	pm_plate_1	G9	0.104	0.104	0.106	0.099	0.147	0.172	0.237	0.272	0.248
s1	rep1	Nitrogen	Thiourea	pm_plate_1	G10	0.102	0.105	0.108	0.113	0.119	0.127	0.133	0.132	0.131
s1	rep1	Nitrogen	Biuret	pm_plate_1	G11	0.097	0.104	0.102	0.091	0.085	0.082	0.086	0.087	0.092
s1	rep1	Nitrogen	Guanidine	pm_plate_1	G12	0.104	0.119	0.106	0.122	0.13	0.132	0.151	0.151	0.151
s1	rep1	Nitrogen	L-Histidine	pm_plate_1	H1	0.214	0.21	0.202	0.201	0.201	0.197	0.2	0.199	0.199
s1	rep1	Nitrogen	Thymine	pm_plate_1	H2	0.091	0.095	0.098	0.092	0.089	0.098	0.112	0.119	0.128
s1	rep1	Nitrogen	L-Glutathione	pm_plate_1	H3	0.092	0.1	0.095	0.093	0.092	0.09	0.096	0.096	0.094
s1	rep1	Nitrogen	Allantoin	pm_plate_1	H4	0.097	0.099	0.103	0.116	0.123	0.134	0.153	0.155	0.153
s1	rep1	Nitrogen	Adenine	pm_plate_1	H5	0.096	0.098	0.1	0.101	0.107	0.106	0.113	0.113	0.115
s1	rep1	Nitrogen	Glycine	pm_plate_1	H6	0.09	0.095	0.097	0.095	0.091	0.09	0.099	0.1	0.1
s1	rep1	Nitrogen	Beta-Phenylethylamine	pm_plate_1	H7	0.096	0.103	0.097	0.106	0.111	0.118	0.128	0.13	0.133
s1	rep1	Nitrogen	L-Proline	pm_plate_1	H8	0.099	0.103	0.109	0.113	0.114	0.165	0.175	0.18	0.202
s1	rep1	Nitrogen	D-Methionine	pm_plate_1	H9	0.107	0.107	0.117	0.127	0.132	0.128	0.133	0.128	0.123
s1	rep1	Nitrogen	Cytosine	pm_plate_1	H10	0.106	0.115	0.118	0.118	0.128	0.134	0.145	0.15	0.153
s1	rep1	Nitrogen	D-Valine	pm_plate_1	H11	0.098	0.108	0.108	0.114	0.125	0.132	0.137	0.138	0.137
s1	rep1	Nitrogen	N-Acetyl-D-Glucosamine	pm_plate_1	H12	0.11	0.108	0.114	0.114	0.136	0.161	0.19	0.207	0.248
